Wisatawan Lokal,Review,Nama Tempat
True,Hidden gem,Goa Gong Pacitan
True,"Goa yang sangat menarik, wajib dikunjungi untuk menambah wawasan tentang alam",Goa Gong Pacitan
True,Hosjosssss,Goa Gong Pacitan
True,"resik resik,,
tour gaetnya ramah,,
istimewa,,",Goa Gong Pacitan
True,Cool,Goa Gong Pacitan
True,Tempat wisata nyg luar biasa keindahan nya. Patut untuk dicoba datang bersama keluarga tercinta...,Goa Gong Pacitan
True,Recomend untuk trip ke Pacitan.,Goa Gong Pacitan
True,"Pemandangan alam yang sangat bagus,",Goa Gong Pacitan
True,Goa tercantik se Asia Tenggara. Kalau kesini wajib fit karena jalurnya lumayan. Masuk area goa juga harus hati hati. Setelah masuk anda akan disuguhi view menarik stalaktit stalagmit yang masih aktif,Goa Gong Pacitan
True,"Goa Gong menyuguhkan pemandangan stalaktit dan stalagmit yang indah. Walaupun tempat parkir bus jauh dari lokasi goa, namun ada jasa ojek yang siap mengantarkan ke tempat wisata.
Bagi yang ingin menyusuri goa sampai ke bawah bisa berpegangan di handle yang disediakan dan hati-hati karena tangganya agak licin karena tetesan air dari atas dan curam.
Wisatawan yang phobia ruang sempit atau memiliki masalah pernapasan harap berhati-hati karena mulut goa sempit dan di dalam agak panas.
Tapi semua itu terbayar lunas dengan pemandangan indah di dalam goa. Selamat mengeksplorasi.",Goa Gong Pacitan
False,Mantap,Goa Gong Pacitan
True,Alami natural banget,Goa Gong Pacitan
True,Tres chouette,Goa Gong Pacitan
True,"Goa nya oke, banyak stalaktit dan stalakmit nya yang unik. Ada banyak pedagang di deket goanya, jadi bisa buat oleh-oleh. Overall, good but nothing special.",Goa Gong Pacitan
True,Amazing ....,Goa Gong Pacitan
True,"Goa tercantik dan terindah di Pacitan ,,
Bukti ke Besaran Allah S.W.T  karena ciptaannya itu emg luar biasa indahnya..",Goa Gong Pacitan
False,Ada tour guide yang mendampingi serta menceritakan seluk beluk goa gong..,Goa Gong Pacitan
True,"Goa bawah tanah yang sangat menakjubkan. Sungguh sangat-sangat indah. Kedua kalinya saya kesini.
Mungkin karena konsep goa alami jadi secara penerangan di buat minim. Meski ada blowernya tapi tetap di dalam goa terasa sangat panas dan lembab. Tapi hal ini masih wajar karena di dalam goa minim sirkulasi udara.
Apalagi saat pengunjungnya banyak terasa tambah gerahnya.
Di dalam jalannya berupa tangga dari semen cor, di beberapa bagian cukup curam dan licin. Jadi wajib hati2 dan di sarankan bawa senter. Agar jalannya lebih tampak.
Lokasi pintu masuk goa tidak jauh dari parkiran, bisa jalan kaki kalau mau, kalau malas bisa pakai ojek. Tapi lokasi goanya masih jauh dari pintu masuknya, jadi harus jalan menanjak terlebih dahulu. Jalan menuju goa sudah tangga semen cor juga kok.
Ada yang jual cinderamata berupa gelang2 dari batu alam yang cantik2. Penjual makanan juga ada dan tidak terlalu mahal.",Goa Gong Pacitan
False,"Wisata murah meriah,tiket masuk yg 20.000 dewasa/anak anak 5000,,parkir mobil 5000 murah meriah, asyik tempatnya",Goa Gong Pacitan
True,"Tempat Bagusss, sayang orang yang nawarin jasa senter, payung, ataupun pemandu sangat menganggu. Ditolak baik² malah ngelunjak hmmmm",Goa Gong Pacitan
True,Goa paling Bagus SE Asia tenggara,Goa Gong Pacitan
True,"salah satu wisata alam di kabupaten pacitan yang sangat megah..
sangat cocok untuk tadabbur alam,menikmati keagungan Tuhan yang menciptakan keindahan.
dengan harga tiket cm 15 ribu rupiah,tak sebanding dengan keindahan yg kita dapatkan.
lokasi yg mudah dituju dan dipintu keluar kita akan disambut dengan pasar yang menjajakan",Goa Gong Pacitan
True,masyaa Alloh.... keren,Goa Gong Pacitan
True,Alam yang luar biasa,Goa Gong Pacitan
True,Berkunjung ke sini bersama rombongan teman2 untuk menikmati n mensyukuri keindahan alam berupa goa alami yang indah,Goa Gong Pacitan
True,Tidak terawat,Goa Gong Pacitan
False,"It's a beautiful i admit, but the walk after you already got out of the tunnel is time consuming not because that you need to went through dozens of vendor(i quiet like it honestly) but because before you exit you need to go to this building that are not maintained properly and leaking everywhere making it a hazard for walking in the rainy season, but overall the experience is worth it, just need some repair in the buildinv that i mention",Goa Gong Pacitan
False,tak bisa berkata-kata udah bagus banget,Goa Gong Pacitan
True,"goanya dirawat bersih, ga expect dalamnya panas bngt tp viewnya worth it.",Goa Gong Pacitan
True,"Lokasi  pariwisata,,alam, pegunungan,,goa yg menarik suasana alam air terdengar,, berjatuhan.  Tiket murah,  parkir  luas. Mudah dikunjungi.",Goa Gong Pacitan
True,Saya malas jalan jauh dari parkiran. Masih pula harus jalan naik turun tangga. Mau pulang juga harus muterin pasar souvenir -UNTUK APA- MasyaAllah lelah sekali. Ini contoh tempat wisata yang kalau dikelola pemda malah jadi amburadul.,Goa Gong Pacitan
False,masyaallah sangat indah ciptaan Allah ..🫰,Goa Gong Pacitan
True,"Pas musim hujan sangat licin
Jadi tidak bisa menikmati pemandangan yang indah karena fokus supaya gak terpleset",Goa Gong Pacitan
True,Luar biasa alami,Goa Gong Pacitan
True,Keren banget ..nggak rugi ke sini.,Goa Gong Pacitan
True,"Bagus ..
Saran bawa penerangan sendiri boleh .. ataumau pake jaasa sewasl senter juga bisa ...
Kalo mw pake jasa tour guide juga bisa cukup 30k ...
Hati² terpeleset ya .. karena licin ...",Goa Gong Pacitan
True,"Goa Gong, Pacitan, Jawa Timur.. masuk kategori sbg salah satu goa terindah di asia tenggara..

Sy dtg saat weekend, dgn HTM 20.000 /org.. dari area parkir menuju pintu masuk goa gong, berjarak sekitar +/- 400 meter dgn jalan yg menanjak.. ada jasa ojek motor dgn tarif 5.000 rupiah dan pengunjung akan diantar smp ke atas..

Ada pula jasa pemandu dgn tarif 30.000 rupiah, yg akan menjelaskan mengenai setiap sudut &  ruang dari goa gong, mulai dari ruang marmer, ruang kristal, sendang mata air, sampai mempraktikkan memukul stalaktit/ stalagmit tertentu yg kemudian akan menghasilkan bunyi sprt gong..

Ada jasa penyewaan senter juga dgn tarif 5.000 rupiah, krn di dlm cukup gelap, walaupun sudah difasilitasi dgn adanya bbrp sumber penerangan..

Banyak pedagang oleh² mulai dari makanan camilan, pakaian, sampai batu akik..

Di dlm goa, ada lampu warna warni yg di pasang utk memberikan efek dramatis..  selalu perhatikan langkah, krn goa meneteskan air yg membuat jalan mnjd licin..",Goa Gong Pacitan
True,"Terakhir menjelajahi goa itu waktu aku masih umur 8 tahunan kali ya. Dan 17 tahun kemudian aku mencoba untuk menjelajahi goa gong di pacitan. Awalnya agak kesel, ditawarin ojek karena katanya jauh. Tapi baru  naik ternyata udah langsung sampai aja. Padahal yang jalannya agak panjang tuh dari pintu masuk ke lokasi goa nya hahaha tapi overall aku puas dengan pemandangan yang disuguhkan. Kaya kembali ke masa anak” yang melihat sesuatu yang indah itu langsung takjub. Cuman agak nyesel kemarin  menolak tawaran pake pemandu wisata, karena pikirnya paling bosen. Gak akan lama ditempat itu",Goa Gong Pacitan
True,"Kesini sekitar jam 3 sore dan untungnya sudah sepi, jadi ngga crowded.
Bebatuannya sangat bagus sekali, bapak guide nya juga sangat ramah",Goa Gong Pacitan
True,"Bagus. Cukup. Nggak ada kata2 lain.

Agak pengap aja. Padahal masih sepi",Goa Gong Pacitan
False,Goanya besar sekali..,Goa Gong Pacitan
True,"Jalur menuju goanya cocok buat treking. Pemandangannya bagus.
Dalam guanya sangat megah, formasi bebatuannya menakjubkan. Terdapat beberapa titik penerangan di dalam.
Sayangnya tidak ada petunjuk dimana letak batu yg berbunyi ketika dipukul, katanya harus sewa guide orang situ yang tau letaknya.",Goa Gong Pacitan
